what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1298336190326
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336193920
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336206198
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298336207586
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336218786
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336223685
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1298336249267
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336251580
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336278165
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1298336293118
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1298336304187
error,log,,,"Unhandled event loop exception",1298336316646
error,log,,,"Unhandled event loop exception",1298336345972
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1298336347113
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336355147
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336361260
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336407819
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336408659
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336409427
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336413165
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineEnd",1298336433373
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1298336435526
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1298336439139
no handler,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1298336440356
no handler,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1298336440356
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1298336519054
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298336562919
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1298336584371
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298336613283
no handler,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1298336613869
no handler,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1298336613870
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336617176
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336618032
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336643274
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336645426
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336649165
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336649834
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336668265
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336678378
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336691643
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336695900
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336705809
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298336709086
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1298336757331
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298336759206
