what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1298411449839
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1298411489819
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298411492965
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298411493195
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1298411514543
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1298411517884
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1298411518745
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298411519534
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298411858137
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298411859022
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1298411860424
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298411864628
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298411870090
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1298411873478
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1298411873821
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1298411874135
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298411874966
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298411894034
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1298411910922
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298411915048
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298411978481
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412002912
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412004899
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298412006303
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412014713
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412025829
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412028846
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412153134
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298412157383
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412162219
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412183600
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412187460
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412206647
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1298412209887
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412210950
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412249931
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412251239
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412261486
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412264461
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412266649
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412274004
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412306596
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412312576
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412368697
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298412371473
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1298412382358
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1298412386187
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298412688184
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298455103788
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298455104035
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298455107331
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298455107370
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298455107426
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298455108826
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298455108864
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298455110509
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298455121355
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298455123008
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298455133609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298455135421
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298455142562
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298455199030
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298457211470
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298457407216
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298457430740
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298457620301
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298457627598
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1298457871365
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298457876203
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298457876965
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1298457877200
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1298458050755
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1298458192758
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1298458299096
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298458302036
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1298458303183
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298458317996
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298458733686
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298458739130
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1298458742183
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298458744488
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298458744602
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1298458746406
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298458746738
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298458746807
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1298458747481
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298458747768
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298458747838
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298458749721
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1298458760933
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298458806007
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298458806226
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298458815142
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1298458848328
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298458850631
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298460094776
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298460097500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298460099137
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298460102124
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298472013310
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298472015552
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298472015671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298472017123
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298472020882
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298472022233
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298472178431
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298472193138
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298472193679
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298472193681
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1298472193756
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298472196105
